organization_name,word,n,tf,idf,tf_idf
Engineers Without Borders,marketing,7,0.004669779853235491,1.5040773967762742,0.007023710325172729
Engineers Without Borders,coordinating,6,0.004002668445630421,1.5040773967762742,0.006020323135862339
George Washington University,website,14,0.029106029106029108,0.8109302162163288,0.023602958476150942
George Washington University,annual,9,0.018711018711018712,1.0986122886681098,0.020556155089424093
George Washington University,rebranding,4,0.008316008316008316,2.1972245773362196,0.01827213785726586
George Washington University,middle,5,0.010395010395010396,1.5040773967762742,0.015634900174389545
George Washington University,content,15,0.031185031185031187,0.4054651081081644,0.012644442040795147
George Washington University,survey,4,0.008316008316008316,1.5040773967762742,0.012507920139511635
George Washington University,report,10,0.02079002079002079,0.5877866649021191,0.012220096983412039
George Washington University,partner,6,0.012474012474012475,0.8109302162163288,0.010115553632636118
George Washington University,evaluation,8,0.016632016632016633,0.5877866649021191,0.009776077586729631
George Washington University,reduced,3,0.006237006237006237,1.5040773967762742,0.009380940104633728
Jubilee Housing,construction,9,0.006593406593406593,2.1972245773362196,0.014487195015403645
Jubilee Housing,script,10,0.007326007326007326,1.5040773967762742,0.011018882027665012
Jubilee Housing,company,5,0.003663003663003663,2.1972245773362196,0.008048441675224248
Jubilee Housing,properties,5,0.003663003663003663,2.1972245773362196,0.008048441675224248
Jubilee Housing,python,5,0.003663003663003663,2.1972245773362196,0.008048441675224248
Jubilee Housing,referencing,5,0.003663003663003663,2.1972245773362196,0.008048441675224248
Jubilee Housing,cross,13,0.009523809523809525,0.8109302162163288,0.007723144916345989
Jubilee Housing,real,9,0.006593406593406593,1.0986122886681098,0.0072435975077018225
Jubilee Housing,system,11,0.00805860805860806,0.8109302162163288,0.006534968775369683
Jubilee Housing,architects,4,0.0029304029304029304,2.1972245773362196,0.006438753340179398
Project Hope,indicators,17,0.010216346153846154,2.1972245773362196,0.02244760685980513
Project Hope,indicator,12,0.007211538461538462,2.1972245773362196,0.01584536954809774
Project Hope,health,25,0.015024038461538462,0.8109302162163288,0.012183446758057824
Project Hope,outcome,9,0.005408653846153846,2.1972245773362196,0.011884027161073302
Project Hope,mental,14,0.008413461538461538,1.0986122886681098,0.009243132236390346
Project Hope,courses,10,0.006009615384615385,1.5040773967762742,0.009038926663318956
Project Hope,youth,10,0.006009615384615385,1.0986122886681098,0.006602237311707391
Project Hope,confident,5,0.0030048076923076925,2.1972245773362196,0.006602237311707391
Project Hope,measurement,5,0.0030048076923076925,2.1972245773362196,0.006602237311707391
Project Hope,statements,5,0.0030048076923076925,2.1972245773362196,0.006602237311707391
Relief International,business,4,0.008016032064128256,1.5040773967762742,0.01205673263948917
Relief International,joined,4,0.008016032064128256,1.5040773967762742,0.01205673263948917
Relief International,manager,4,0.008016032064128256,1.0986122886681098,0.008806511332008896
Relief International,scope,4,0.008016032064128256,1.0986122886681098,0.008806511332008896
Relief International,corporates,2,0.004008016032064128,2.1972245773362196,0.008806511332008896
Relief International,globally,2,0.004008016032064128,2.1972245773362196,0.008806511332008896
Relief International,income,2,0.004008016032064128,2.1972245773362196,0.008806511332008896
Relief International,trusts,2,0.004008016032064128,2.1972245773362196,0.008806511332008896
Relief International,concludes,2,0.004008016032064128,1.5040773967762742,0.006028366319744585
Relief International,corporate,2,0.004008016032064128,1.5040773967762742,0.006028366319744585
Save the Children,pricing,5,0.005605381165919282,2.1972245773362196,0.0123162812630954
Save the Children,trust,6,0.006726457399103139,1.5040773967762742,0.010117112534369558
Save the Children,sharepoint,8,0.008968609865470852,1.0986122886681098,0.00985302501047632
Save the Children,award,4,0.004484304932735426,2.1972245773362196,0.00985302501047632
Save the Children,funds,4,0.004484304932735426,2.1972245773362196,0.00985302501047632
Save the Children,summaries,4,0.004484304932735426,2.1972245773362196,0.00985302501047632
Save the Children,bank,5,0.005605381165919282,1.5040773967762742,0.00843092711197463
Save the Children,changed,5,0.005605381165919282,1.5040773967762742,0.00843092711197463
Save the Children,page,6,0.006726457399103139,1.0986122886681098,0.007389768757857241
Save the Children,gsa,3,0.0033632286995515697,2.1972245773362196,0.007389768757857241
World Central Kitchen,activation,22,0.01098901098901099,2.1972245773362196,0.024145325025672744
World Central Kitchen,security,13,0.006493506493506494,2.1972245773362196,0.014267692060624804
World Central Kitchen,media,23,0.011488511488511488,1.0986122886681098,0.012621419899783479
World Central Kitchen,meals,12,0.005994005994005994,1.5040773967762742,0.00901544893172592
World Central Kitchen,toolkit,8,0.003996003996003996,2.1972245773362196,0.008780118191153725
World Central Kitchen,activations,7,0.0034965034965034965,2.1972245773362196,0.007682603417259509
World Central Kitchen,hurricane,6,0.002997002997002997,2.1972245773362196,0.0065850886433652936
World Central Kitchen,community,21,0.01048951048951049,0.5877866649021191,0.006165594387085165
World Central Kitchen,archival,5,0.0024975024975024975,2.1972245773362196,0.0054875738694710775
World Central Kitchen,ashley,5,0.0024975024975024975,2.1972245773362196,0.0054875738694710775
